id_venta;fecha;codigo_producto;categoria;cantidad;precio_unitario;medio_pago
V001;2026-09-02;P1085;TECNOLOGIA;5;44139;TRANSFERENCIA
V002;2026-09-02;P1085;ALIMENTOS;4;25492;TARJETA
V003;2026-09-07;P9651;HOGAR;3;142544;TRANSFERENCIA
V004;2026-09-04;P3987;TECNOLOGIA;6;6083;EFECTIVO
V005;2026-09-04;P8427;VESTUARIO;5;81338;TARJETA
V006;2026-09-04;P6701;ALIMENTOS;3;127368;EFECTIVO
V007;2026-09-06;P3796;ALIMENTOS;5;115233;EFECTIVO
V008;2026-09-06;P5569;HOGAR;8;154455;TARJETA
V009;2026-09-02;P9851;ALIMENTOS;3;14326;EFECTIVO
V010;2026-09-06;P9098;HOGAR;1;14447;TRANSFERENCIA
